thread-upload-10MB-1c-1s,upload,10,1,1,0.438,23953392.74,1/1,1/1
thread-upload-10MB-1c-5s,upload,10,1,5,0.39,26906904.26,1/1,1/5
thread-upload-10MB-1c-50s,upload,10,1,50,0.444,23603141.42,1/1,1/50
thread-upload-10MB-5c-1s,upload,10,5,1,1.819,28828511.05,5/5,5/1
thread-upload-10MB-5c-5s,upload,10,5,5,1.534,34175202.95,5/5,5/5
thread-upload-10MB-5c-50s,upload,10,5,50,1.728,30349368.12,5/5,5/50
thread-upload-10MB-50c-1s,upload,10,50,1,17.583,29817513.53,50/50,50/1
thread-upload-10MB-50c-5s,upload,10,50,5,14.29,36690285.83,50/50,50/5
thread-upload-10MB-50c-50s,upload,10,50,50,14.679,35715714.49,50/50,50/50
thread-upload-50MB-1c-1s,upload,50,1,1,2.415,21708263.92,1/1,1/1
thread-upload-50MB-1c-5s,upload,50,1,5,2.343,22374280.37,1/1,1/5
thread-upload-50MB-1c-50s,upload,50,1,50,2.247,23333995.35,1/1,1/50
thread-upload-50MB-5c-1s,upload,50,5,1,11.129,23555692.02,5/5,5/1
thread-upload-50MB-5c-5s,upload,50,5,5,10.146,25836985.59,5/5,5/5
thread-upload-50MB-5c-50s,upload,50,5,50,10.582,24771993.68,5/5,5/50
thread-upload-50MB-50c-1s,upload,50,50,1,204.678,12807613.58,50/50,50/1
thread-upload-50MB-50c-5s,upload,50,50,5,99.186,26429424.65,50/50,50/5
thread-upload-50MB-50c-50s,upload,50,50,50,179.303,14620208.3,50/50,50/50
thread-upload-100MB-1c-1s,upload,100,1,1,8.383,12507939.7,1/1,1/1
thread-upload-100MB-1c-5s,upload,100,1,5,5.313,19734324.91,1/1,1/5
thread-upload-100MB-1c-50s,upload,100,1,50,5.368,19533411.82,1/1,1/50
thread-upload-100MB-5c-1s,upload,100,5,1,24.902,21053926.75,5/5,5/1
thread-upload-100MB-5c-5s,upload,100,5,5,21.787,24064360.22,5/5,5/5
thread-upload-100MB-5c-50s,upload,100,5,50,23.398,22407079.07,5/5,5/50
thread-upload-100MB-50c-1s,upload,100,50,1,427.855,12253880.24,50/50,50/1
thread-upload-100MB-50c-5s,upload,100,50,5,397.41,13192623.44,50/50,50/5
thread-upload-100MB-50c-50s,upload,100,50,50,330.142,15880662.68,50/50,50/50
